"Current account balance"
"Million US dollars, exchange rate converted, Calendar and seasonally adjusted"
"Category","United States","Australia","Norway","United Kingdom","EU 27 since 2020","Switzerland","Sweden"
"1981-01-01 00:00:00",963,-1287.474,421.3104,6126.087,,,
"1981-04-01 00:00:00",1228,-1905.549,1124.86,2939.12,,,
"1981-07-01 00:00:00",2081,-1959.614,517.9053,-317.6523,,,
"1981-10-01 00:00:00",759,-2639.493,116.907,1007.112,,,
"1982-01-01 00:00:00",-285,-2593.968,285.2423,1587.058,,,-743.9324
"1982-04-01 00:00:00",3789,-2270.339,-32.61776,-331.0177,,,-538.1763
"1982-07-01 00:00:00",-4040,-1536.771,340.2523,182.8201,,,-891.5003
"1982-10-01 00:00:00",-4997,-1499.04,-42.01001,1650.923,,,-1148.496
"1983-01-01 00:00:00",-2517,-1570.093,79.27969,1522.605,,,-356.3356
"1983-04-01 00:00:00",-7833,-1238.044,534.9708,-932.6125,,,-28.37647
"1983-07-01 00:00:00",-12901,-1636.287,809.9438,911.8677,,,-234.2202
"1983-10-01 00:00:00",-15444,-1280.941,998.6404,-336.4692,,,-218.4174
"1984-01-01 00:00:00",-20930,-2006.037,888.2227,1027.25,,,462.6766
"1984-04-01 00:00:00",-23439,-1720.107,837.2727,-1762.408,,,-44.19036
"1984-07-01 00:00:00",-23384,-2044.663,749.5416,-1428.219,,,39.59305
"1984-10-01 00:00:00",-26589,-2477.957,806.3036,-252.9373,,,134.0847
"1985-01-01 00:00:00",-23519,-1788.749,740.2288,-1399.387,,1368.647,-896.2118
"1985-04-01 00:00:00",-28689,-1832.807,880.6049,309.0188,,1378.594,-435.8034
"1985-07-01 00:00:00",-31303,-2443.602,772.5285,98.97753,,1411.397,29.61975
"1985-10-01 00:00:00",-34648,-2488.493,648.4215,-326.0324,,2016.547,177.2631
"1986-01-01 00:00:00",-34209,-2725.105,-398.9756,303.857,,1348.781,155.1022
"1986-04-01 00:00:00",-35692,-2630.509,-2191.622,-1667.758,,1822.439,149.2079
"1986-07-01 00:00:00",-38049,-1997.867,-1648.98,-2981.214,,1076.965,496.3917
"1986-10-01 00:00:00",-39226,-1970.323,-440.0706,-1960.481,,762.2327,117.8146
"1987-01-01 00:00:00",-39265,-1946.665,-846.5675,-348.43,,920.53,185.733
"1987-04-01 00:00:00",-39985,-1699.038,-855.7097,-3005.198,,1113.112,38.24665
"1987-07-01 00:00:00",-40129,-1782.927,-1597.298,-3551.064,,2184.017,6.835135
"1987-10-01 00:00:00",-41282,-1816.92,-1042.323,-6355.984,,2600.532,63.15874
"1988-01-01 00:00:00",-32952,-1781.86,-774.5131,-7432.527,,2849.634,-429.5803
"1988-04-01 00:00:00",-28896,-2366.695,-1266.636,-7849.433,,1985.735,-43.3433
"1988-07-01 00:00:00",-27924,-2743.636,-1149.503,-7443.98,,2002.065,-20.77386
"1988-10-01 00:00:00",-31387,-3581.58,-825.287,-12336.43,,2245.456,-72.32516
"1989-01-01 00:00:00",-28492,-4407.947,179.4299,-10189.6,,2178.63,-320.3937
"1989-04-01 00:00:00",-25168,-4433.028,121.885,-10555.51,,1974.126,-913.0132
"1989-07-01 00:00:00",-22050,-4725.268,0.6442655,-11339.17,,1802.048,-633.6251
"1989-10-01 00:00:00",-23775,-4802.874,-394.0522,-8906.027,,1858.19,-1242.657
"1990-01-01 00:00:00",-23646,-4833.565,-83.22057,-10693.4,,1626.065,-1433.818
"1990-04-01 00:00:00",-19524,-3499.259,-131.6014,-10775.46,,1954.288,-1224.582
"1990-07-01 00:00:00",-21537,-3387.792,1027.729,-7155.044,,2196.224,-2190.297
"1990-10-01 00:00:00",-14258,-3979.479,2257.948,-7662.071,,2094.625,-1611.977
"1991-01-01 00:00:00",9957,-3072.413,1179.608,-5759.189,,2649.874,-1384.361
"1991-04-01 00:00:00",2525,-2607.43,1264.957,-3019.616,,2496.279,-985.554
"1991-07-01 00:00:00",-4186,-2538.188,1219.583,-4362.266,,2887.923,-1918.105
"1991-10-01 00:00:00",-5401,-2441.126,693.5696,-3412.505,,3191.563,-766.8182
"1992-01-01 00:00:00",-6234,-2407.894,640.9302,-3866.687,,3129.23,-1738.297
"1992-04-01 00:00:00",-11890,-2609.256,985.9251,-5268.522,,2879.274,-2431.202
"1992-07-01 00:00:00",-14703,-2966.642,1697.174,-6113.977,,3705.305,-2214.398
"1992-10-01 00:00:00",-18787,-2441.16,1116.101,-4408.951,,3373.814,-1234.08
"1993-01-01 00:00:00",-14777,-2209.044,630.4369,-3455.122,,4376.453,-1296.596
"1993-04-01 00:00:00",-20679,-2438.556,1796.701,-4876.952,,4041.378,-848.6541
"1993-07-01 00:00:00",-21302,-2456.425,864.1044,-3709.589,,3929.21,-60.70701
"1993-10-01 00:00:00",-28058,-2264.744,260.9758,-3255.288,,5178.328,-368.7078
"1994-01-01 00:00:00",-24981,-2319.671,780.7521,-1531.673,,4524.552,590.0226
"1994-04-01 00:00:00",-28578,-3777.695,878.4312,-2714.023,,3050.323,132.7419
"1994-07-01 00:00:00",-31608,-4990.47,865.5148,-634.3958,,3948.581,586.7455
"1994-10-01 00:00:00",-36445,-4847.96,1298.278,-1067.342,,4856.353,1028.053
"1995-01-01 00:00:00",-31434,-5444.966,1315.156,1163.098,,3477.405,1653.836
"1995-04-01 00:00:00",-32013,-4609.695,1169.515,-4634.263,,3798.096,2136.947
"1995-07-01 00:00:00",-26977,-4067.377,1539.036,-3876.364,,4614.304,2283.581
"1995-10-01 00:00:00",-23147,-4671.802,1359.851,-1666.584,,4553.999,2343.93
"1996-01-01 00:00:00",-27440,-4044.87,2782.445,-2269.505,,5013.997,2351.122
"1996-04-01 00:00:00",-29840,-2890.475,2620.602,-1742.189,,3680.857,2397.978
"1996-07-01 00:00:00",-36058,-4148.51,2687.164,-2218.257,,4653.205,2341.981
"1996-10-01 00:00:00",-31435,-3764.398,2915.301,-1867.733,,4308.068,2219.833
"1997-01-01 00:00:00",-36079,-3215.082,3536.251,-1177.772,,6141.022,2112.957
"1997-04-01 00:00:00",-28798,-2092.7,2215.034,-707.0923,,5581.057,2450.787
