"Current account balance"
"Million US dollars, exchange rate converted, Calendar and seasonally adjusted"
"Category","New Zealand","Canada","Norway","Australia","Japan","United Kingdom","Sweden","EU 27 since 2020","United States"
"1999-07-01 00:00:00",-695.0474,1244.605,2782.536,-5934.792,29645.36,-9412.057,2719.529,2155.747,-76129
"1999-10-01 00:00:00",-1088.498,636.4036,4171.055,-4966.947,31679.09,-5555.653,3004.817,-2743.648,-81685
"2000-01-01 00:00:00",-665.694,3841.776,5005.433,-5228.532,32716.84,-6982.752,2145.843,-5167.737,-94772
"2000-04-01 00:00:00",-444.7949,4169.795,5070.909,-4905.578,36142.45,-6623.412,2265.245,-10058.09,-96392
"2000-07-01 00:00:00",-416.9899,5209.791,7052.26,-3168.561,33992.46,-8178.583,2328.426,-7202.628,-104474
"2000-10-01 00:00:00",-254.4298,5725.254,7988.651,-3019.018,27886.34,-8620.771,3423.063,-7640.274,-106279
"2001-01-01 00:00:00",-134.7623,6989.078,6798.715,-2352.073,24446.65,-4179.797,2300.466,-8543.735,-107136
"2001-04-01 00:00:00",18.20739,4757.257,6775.502,-1930.044,18349.18,-8619.459,2207.594,-20227.61,-95251
"2001-07-01 00:00:00",-41.46411,2653.741,7561.792,-1533.025,20270.97,-8664.097,3171.668,-8464.271,-103435
"2001-10-01 00:00:00",-273.7346,2034.441,6506.122,-2679.131,24215.87,-7754.595,3568.01,8815.327,-88263
"2002-01-01 00:00:00",-463.5054,4446.466,5391.412,-2574.963,27215.35,-7539.388,2996.023,9995.766,-102608
"2002-04-01 00:00:00",-141.5881,3555.382,6460.457,-3803.893,27808.63,-11840.19,3263.404,-12850.69,-114669
"2002-07-01 00:00:00",-339.2603,2703.948,5959.447,-4260.278,26749.15,-7219.157,2872.786,10785.75,-114854
"2002-10-01 00:00:00",-390.7938,2469.711,6440.866,-5612.176,26900.83,-8604.784,2482.127,627.9931,-123975
"2003-01-01 00:00:00",-398.016,2415.435,6835.819,-5901.943,26756.04,-4443.16,3400.053,-5623.868,-135362
"2003-04-01 00:00:00",-604.5501,677.7208,6954.079,-7313.453,34432.38,-10418.63,4691.283,-1182.236,-129336
"2003-07-01 00:00:00",-454.7294,3783.397,6606.112,-7395.358,37375.09,-13989.59,5612.388,8502.313,-130105
"2003-10-01 00:00:00",-557.1226,4283.951,7217.128,-8284.121,40854.21,-8600.82,5873.266,4492.952,-127490
"2004-01-01 00:00:00",-910.3652,5180.088,7278.125,-9626.596,45869.76,-13992.21,4952.426,16931.65,-136989
"2004-04-01 00:00:00",-755.7902,6640.866,7832.712,-8747.623,46800.66,-14437.68,5964.292,14722.81,-156109
"2004-07-01 00:00:00",-1493.561,6048.733,8793.245,-10552.93,44520.7,-19350.35,5733.632,10734.5,-161502
"2004-10-01 00:00:00",-1497.977,6199.477,8987.346,-12643.61,45097.74,-7851.057,6179.525,17760.87,-181291
"2005-01-01 00:00:00",-1653.842,2541.55,11978.34,-11814.8,42662.79,-12573.57,5598.583,10549.19,-170824
"2005-04-01 00:00:00",-2054.08,3119.924,10860.65,-10419.76,43031.89,-4473.022,5861.186,8371.111,-180642
"2005-07-01 00:00:00",-2144.768,6575.56,13264.1,-11059.35,40086.43,-17227.48,6456.733,-3753.99,-188193
"2005-10-01 00:00:00",-2144.639,10642.46,14889.89,-10446,44448.18,-16135.28,5671.143,-8021.396,-209573
"2006-01-01 00:00:00",-2437.385,5913.61,11929.52,-10319.91,43553.71,-20638.52,8242.56,-10339.87,-199506
"2006-04-01 00:00:00",-1695.587,4035.149,16122.95,-11890.22,40970.47,-19487.18,7653.845,-11496.85,-204953
"2006-07-01 00:00:00",-1693.699,4400.476,15347,-11331.34,41507.14,-23284.8,8638.857,-5126.984,-218442
"2006-10-01 00:00:00",-2030.772,4683.167,13573.87,-12513.74,50254.34,-21196.68,10261.43,-10687.24,-193746
"2007-01-01 00:00:00",-2243.687,3388.563,10060,-13512.85,52370.37,-28926.46,9605.392,-7860.661,-200315
"2007-04-01 00:00:00",-2432.219,5375.729,10325.84,-15408.41,51906.06,-21607.76,10006.84,18546.06,-193334
"2007-07-01 00:00:00",-2418.302,1169.025,14828.12,-16450.34,52135.27,-34521.29,8653.754,-20388.3,-175756
"2007-10-01 00:00:00",-2052.64,1926.208,15509.41,-18923.39,56807.23,-30337.52,12500.92,-27022.57,-167144
"2008-01-01 00:00:00",-2518.521,3672.896,18391.95,-18349.89,53922.2,-27436.06,11394.2,-40708.09,-182284
"2008-04-01 00:00:00",-3306.483,5511.398,22501.28,-16789.09,37769.14,-33547.33,9937.87,-58242.12,-179816
"2008-07-01 00:00:00",-2784.622,3908.043,18379.46,-11163.79,26940.69,-27045.22,11226.92,-80406.85,-178194
"2008-10-01 00:00:00",-1833.368,-8987.737,15182.95,-6203.268,23451.31,-25503.13,8713.752,-59619.44,-156229
"2009-01-01 00:00:00",-1030.19,-8563.201,6186.216,-2863.308,19600.21,-22140.12,4496.145,2704.382,-99402
"2009-04-01 00:00:00",-189.2005,-9374.998,12100.82,-11786.26,36061.98,-22846.8,8183.211,12136.02,-87089
"2009-07-01 00:00:00",228.407,-11865.84,10736.54,-13801.84,38213.73,-14642.66,6331,21351.65,-91384
"2009-10-01 00:00:00",-1773.583,-10503.54,14023.51,-18732.7,52756.04,-13708.49,6708.467,11819.96,-101854
"2010-01-01 00:00:00",-346.6562,-12796.3,13162.74,-16280.97,53732.07,-14382.24,6530.956,33074.42,-103034
"2010-04-01 00:00:00",-622.106,-14107.99,11159.65,-8665.452,49773.48,-13296.1,7046.053,12662.01,-111736
"2010-07-01 00:00:00",-707.0836,-19282.4,9864.409,-9307.043,55985.75,-20575.51,6676.599,24737.01,-116619
"2010-10-01 00:00:00",-1635.321,-11346.2,12839.92,-11951.55,62132.31,-20522.62,8883.363,19218.98,-100621
"2011-01-01 00:00:00",-1240.699,-13593.71,12016.82,-11900.7,46062.99,-4648.666,8083.038,16622.45,-119236
"2011-04-01 00:00:00",-999.0273,-14170.65,17339.77,-11748.78,24093.5,-8740.93,7906.885,19125.67,-119435
"2011-07-01 00:00:00",-1434.409,-10127.99,16890.42,-10429.12,33116.31,-18217.05,9489.15,28823.13,-106860
"2011-10-01 00:00:00",-1009.81,-10821.48,16840.96,-10865.49,24830.56,-11821.2,6137.541,46078.74,-109771
"2012-01-01 00:00:00",-2035.076,-13174.77,19676.65,-18324.32,20631.27,-12524.21,7505.282,39920.27,-113912
"2012-04-01 00:00:00",-1762.494,-17153.96,14526.88,-14194.57,16123.42,-26403.68,7625.166,63170.25,-110004
"2012-07-01 00:00:00",-1443.873,-17376.45,15046.51,-16824.51,10026.05,-19881.28,7451.684,67493.2,-98866
"2012-10-01 00:00:00",-1626.396,-16928.85,15521.53,-18931.03,16153.4,-26752.31,7743.007,74499.9,-95400
"2013-01-01 00:00:00",-1632.287,-14989.7,12932.31,-13806.78,9855.102,-29180.76,6733.825,86442.73,-90923
"2013-04-01 00:00:00",-1758.909,-15240.91,13530.23,-13693.69,22616.19,-27395.42,6374.735,102296,-89161
"2013-07-01 00:00:00",-1664.689,-13538.66,12732.45,-13367.43,10078.81,-32168.14,6447.906,97392.88,-85392
"2013-10-01 00:00:00",-708.0789,-14269.42,14769.73,-10252.46,3548.884,-40992.15,6049.62,89139.61,-74041
"2014-01-01 00:00:00",-640.155,-10699.89,17782.16,-9432.571,-9008.611,-30663.17,4416.964,96608.75,-90914
"2014-04-01 00:00:00",-1864.458,-9371.294,13912.03,-11815.45,10782.05,-31680.79,4846.606,84923.91,-87169
"2014-07-01 00:00:00",-1935.693,-8769.5,10559.48,-12496.57,8913.487,-39490.04,5278.267,91436.72,-89189
"2014-10-01 00:00:00",-1776.486,-12942.73,13544.54,-10696.23,26097.11,-51456.98,5363.253,109221.4,-102784
"2015-01-01 00:00:00",-1241.578,-15576.32,8475.961,-10442.4,31293.09,-40206.86,2948.23,112068.3,-99395
"2015-04-01 00:00:00",-1544.509,-13548.65,9098.149,-16221.26,35103.17,-22335.8,5084.557,74754.56,-99475
"2015-07-01 00:00:00",-875.743,-11985.6,7774.117,-14571.17,32001.44,-32749.31,3428.832,96041.09,-109927
"2015-10-01 00:00:00",-1138.791,-13416.69,5941.783,-15524.79,38300.05,-49369.46,2823.288,108581.4,-99657
"2016-01-01 00:00:00",-643.5366,-13570.75,2802.984,-12696.44,46475.65,-40476.82,2052.871,106571.1,-104015
"2016-04-01 00:00:00",-916.0865,-13819.81,3048.987,-13293.79,47973.15,-37348.09,2996.776,121966.2,-100481
"2016-07-01 00:00:00",-1303.48,-12581,2845.845,-10954.79,49877.29,-43867.61,2160.263,113680.1,-99562
"2016-10-01 00:00:00",-1005.43,-7260.637,6216.708,-4424.666,48323.45,-25749.02,3491.677,114242.6,-92158
"2017-01-01 00:00:00",-1742.56,-9503.554,5820.122,-6857.533,52777.59,-20212.83,2550.192,103237.6,-85463
"2017-04-01 00:00:00",-1108.767,-11123.91,6787.732,-8274.843,46543.86,-29089.19,3556.078,77559.24,-103940
"2017-07-01 00:00:00",-1354.649,-13427.81,4948.238,-9099.106,56061.28,-22853.14,2275.807,140989.4,-85766
"2017-10-01 00:00:00",-1588.273,-12300.82,4188.668,-11273.17,49866.03,-21550.76,3319.883,143788.1,-92446
"2018-01-01 00:00:00",-2408.104,-11903.1,7724.382,-9905.869,48571.45,-30359.7,1529.082,137809.7,-96923
"2018-04-01 00:00:00",-2365.428,-9734.087,9200.23,-9892.96,51361.57,-24679.79,3282.713,121621,-94154
"2018-07-01 00:00:00",-2070.751,-7033.273,11307.3,-7223.832,41757.63,-25720.79,4509.177,102319.6,-119449
"2018-10-01 00:00:00",-1977.292,-12352.16,6623.501,-4928.707,35409.82,-31913.41,4329.99,103600.8,-129323
"2019-01-01 00:00:00",-1640.989,-13142.28,3835.754,-3059.668,45996.69,-44662.36,6822.072,132491.3,-115129
"2019-04-01 00:00:00",-1735.576,-4877.053,3311.542,2271.493,44727.38,-17194.02,8609.386,61443.53,-117007
"2019-07-01 00:00:00",-1586.287,-9577.314,1533.457,4494.602,39899.41,-16661.19,8964.308,133882.4,-110158
